ID,Date/Time,Total Play Time,Total # moves,#galleries,self avoidance,#clusters,exp efficiency,scav efficiency,median exp steps,median scav steps,max dt,robust_median_exploit_pace,robust_threshold_exploit_pace,Average Speed,% galleries in exp,% time in exp,efficiency ratio,exp speed,scav speed,Step Orig,% steps uniquely covered,Gallery Orig,Gallery Orig exp,Gallery Orig scav,% galleries uniquely covered,% galleries uniquely covered exp,% galleries uniquely covered scav,# clusters in GC,% clusters in GC,Step Orig (sample),% steps uniquely covered (sample),Gallery Orig (sample),Gallery Orig exp (sample),Gallery Orig scav (sample),% galleries uniquely covered (sample),% galleries uniquely covered exp (sample),% galleries uniquely covered scav (sample),# clusters in GC (sample),% clusters in GC (sample)
rmpKCM,2026-01-20T10:51:53.668000,719.12,360,137,0.8481375358166189,19,0.7916666666666667,1,7,9,7.848,,,0.5006118589387029,0.2116788321167883,0.49015741461786616,0.7916666666666667,0.4737830584256786,0.5264047916473469,4.1049477680349975,0.4156976744186046,3.639248630522473,3.4780748260614867,3.682526781720331,0.20175438596491224,0.037037037,0.23913043478260865,15,0.7894736842105263,4.116334254794702,0.6075581395348837,3.752555173329686,3.6955217449551907,3.7678697050228376,0.38596491228070173,0.33333333333333337,0.3804347826086957,10,0.5263157894736842
w30KjT,2025-01-06T11:07:47.197000,719.62,260,43,0.9392712550607287,5,0.7083333333333333,0.6666666666666666,24.5,17,18.319999999999936,,,0.36130179817125707,0.27906976744186046,0.6087685167171563,1.0625,0.35838039453800885,0.3658475942856737,4.1647112366614385,0.45679012345679015,3.536737367954894,3.6259576216140013,3.5022004955707224,0.093023256,0.083333333,0.096774194,4,0.8,4.155328976078282,0.7119341563786008,3.798918152212168,3.954286429803084,3.7387755931447177,0.2790697674418605,0.25,0.29032258064516125,2,0.4
FdwMSA,2026-01-05T17:16:46.287000,719.007,210,13,0.9711538461538461,2,0.25925925925925924,0.3484848484848485,44,53.5,18.496999999999986,,,0.29206947915667025,0.076923077,0.48518303716097333,0.7439613526570047,0.29525584061917737,0.2890665312286408,4.409380497869106,0.7342995169082125,3.9903301031268654,3.497982164751721,4.031359097991461,0.3846153846153846,0,0.41666666666666663,1,0.5,4.220079724,0.8840579710144928,3.9423759058962253,3.7332574681168875,3.959802442377837,0.3846153846153846,0,0.41666666666666663,1,0.5
ECuaTV,2025-12-04T17:44:27.473000,695.428,162,30,0.9371069182389937,4,0.6666666666666666,0.9,8,24,35.668000000000006,,,0.2329500681594644,0.16666666666666666,0.44995887424722614,0.7407407407407407,0.21092057242565052,0.25097120628264585,4.234653938,0.5641025641025641,3.9777541571071486,3.4728446740291212,4.0787360537227535,0.3571428571428571,0,0.41666666666666663,2,0.5,4.173456138512603,0.7371794871794872,3.949091316709599,3.6298946371168888,4.012930653,0.4642857142857143,0,0.5416666666666667,0,0
957H63,2026-01-08T11:21:05.141000,719.85,249,24,0.9192825112107623,5,0.35294117647058826,0.42857142857142855,16.5,14,19.814999999999998,,,0.3459053969576995,0.125,0.4911162047648816,0.823529412,0.37620569682912336,0.31666302686176023,4.261113105667565,0.5203619909502262,3.472402100282036,3.1989352799254736,3.5114687889044025,0.083333333,0,0.095238095,4,0.8,4.173668933469425,0.7285067873303168,3.639287349601689,3.508708410079654,3.657941483819122,0.16666666666666663,0,0.19047619047619047,2,0.4
EqkRDu,2025-12-28T11:57:53.060000,655.729,208,78,0.8557213930348259,14,1,1,4,7,23.795999999999992,,,0.3172042108858995,0.11538461538461539,0.4777659673432166,1,0.23620664889796825,0.39130485568443313,3.986009697250631,0.27979274611398963,3.339496130590974,3.3330019614855004,3.3403431961264713,0.015625,0,0.016666667,13,0.9285714285714286,4.084201184956054,0.533678756,3.5974130128334436,3.6052945059253028,3.5963849919953734,0.140625,0.125,0.1333333333333333,9,0.6428571428571429
JWFJdD,2024-12-05T12:14:42.983000,718.889,282,65,0.9511278195488722,10,0.5714285714285714,0.6666666666666666,5,8,11.016999999999996,,,0.3922719641001601,0.1076923076923077,0.4137203379103036,0.8571428571428571,0.35303729754992086,0.41995871592284173,4.366338758325611,0.6981132075471699,4.138242926465866,4.326391512425104,4.115535338505268,0.4098360655737705,0.5714285714285714,0.38181818181818183,5,0.5,4.211496529672878,0.8377358490566038,3.9825836003391983,4.104542609032572,3.9678644096348252,0.5245901639344263,0.7142857142857143,0.49090909090909096,3,0.3
8ZapMM,2025-12-10T20:18:30.447000,716.602,236,41,0.9427312775330396,6,0.4494949494949495,0.6666666666666666,13,16.5,15.028000000000002,,,0.3293320420540272,0.14634146341463414,0.4433423294939173,0.6742424242424243,0.3242052250550833,0.3334152247920543,4.153282472002829,0.4196428571428571,3.636787885425232,3.033714907953076,3.7401718244204583,0.125,0,0.1470588235294118,4,0.6666666666666666,4.130164523786711,0.6205357142857143,3.803784599258805,3.492497008,3.8571481863261323,0.17500000000000004,0,0.20588235294117652,2,0.3333333333333333
Zg3xvI,2025-01-09T11:46:16.461000,719.773,276,64,0.8917910447761194,10,0.5,0.75,11,13,55.89599999999999,,,0.3834542279301946,0.1875,0.5565685292446367,0.6666666666666666,0.34697693227459614,0.4292383369364287,4.087425163669214,0.37969924812030076,3.5564859559195234,3.3275665512189057,3.609313510850435,0.11111111111111116,0.090909091,0.11538461538461542,8,0.8,4.112941940604831,0.5789473684210527,3.7559706718106085,3.483483309787069,3.8188523707391164,0.2698412698412699,0.18181818181818177,0.28846153846153844,5,0.5
e2yCyw,2025-12-07T16:13:34.568000,718.58,247,70,0.979253112,12,0.5833333333333333,0.9166666666666667,6,9.5,13.147999999999996,,,0.3437334743521946,0.12857142857142856,0.46181496840991954,0.6363636363636362,0.29531325805858655,0.38528271735504704,4.400657891,0.7196652719665272,4.123064297778313,3.5147728826447437,4.212812211486547,0.2941176470588235,0,0.33333333333333337,4,0.3333333333333333,4.215522104301823,0.8619246861924686,4.0808875694887945,3.730877022120305,4.132528469920208,0.5294117647058824,0.33333333333333337,0.55,1,0.083333333
