StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ICAR_ln1,ICAR_mx2,ICAR_vr1,ICAR_mx3,ICAR_vr2,ICAR_r3d1,ICAR_r3d2,ICAR_vr3,ICAR_r3d3,ICAR_ln3,ICAR_r3d4,ICAR_vr4,ICAR_mx4,ICAR_ln2,ICAR_ln4,ICAR_mx1,SC0,shahar_id
26/12/2024 12:42,26/12/2024 12:42,0,192.114.23.229,6,3,0,02/01/2025 12:43,R_2GDhrOx0sCl56P7,,,,,,,anonymous,HE,,,,,,,,,,,,,,,,,0,NqOPTt
02/01/2025 21:12,02/01/2025 21:27,0,147.235.199.87,100,948,1,02/01/2025 21:27,R_2uL1oWcN626u8UO,,,,,32.0803,34.7805,anonymous,HE,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,15,lkQZDf
05/01/2025 16:22,05/01/2025 16:28,0,46.121.3.5,100,330,1,05/01/2025 16:28,R_4wjkf2QUb0SffVL,,,,,32.0803,34.7805,anonymous,HE,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,6,fcMg35
05/01/2025 14:56,06/01/2025 9:41,0,85.64.195.60,100,67515,1,06/01/2025 9:41,R_4HLZOvcdFQz8Gdc,,,,,32.0803,34.7805,anonymous,HE,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,11,w30KjT
07/01/2025 15:06,07/01/2025 15:15,0,46.117.130.144,100,490,1,07/01/2025 15:15,R_4EaEgCAxLwd6Gyl,,,,,32.0803,34.7805,anonymous,HE,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,4,cL5U0l
09/01/2025 21:29,09/01/2025 21:49,0,79.177.129.237,100,1186,1,09/01/2025 21:49,R_41ZyFMHihOTVX7e,,,,,32.0803,34.7805,anonymous,HE,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,12,U7staN
10/01/2025 14:47,10/01/2025 15:06,0,87.70.185.233,100,1130,1,10/01/2025 15:06,R_4yTXzmJKtoV4bnz,,,,,32.0803,34.7805,anonymous,HE,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,9,KRFF0w
11/01/2025 14:45,11/01/2025 15:08,0,141.226.89.98,100,1410,1,11/01/2025 15:08,R_4tg3mfDY9FBstfP,,,,,32.0717,34.8307,anonymous,HE,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,12,OurLAP
12/01/2025 11:42,12/01/2025 11:56,0,80.230.141.204,100,838,1,12/01/2025 11:56,R_40f6aUxC9TIymZm,,,,,32.0559,34.8563,anonymous,HE,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,8,65FZVx
12/01/2025 19:20,12/01/2025 20:12,0,85.65.233.160,100,3104,1,12/01/2025 20:12,R_4Mce2v8rEHyb6xB,,,,,31.9042,34.9046,anonymous,HE,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,10,KGbWgG
13/01/2025 9:02,13/01/2025 9:17,0,2.54.10.164,100,896,1,13/01/2025 9:17,R_4RVqQLZoQkFwFnL,,,,,32.0803,34.7805,anonymous,HE,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,9,xZERPu
16/01/2025 11:14,16/01/2025 11:46,0,46.210.215.198,100,1927,1,16/01/2025 11:46,R_4Vqr2lv9od1TdSh,,,,,31.2538,34.7858,anonymous,HE,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,13,LSV8bI
16/01/2025 21:11,17/01/2025 0:31,0,141.226.89.158,100,11951,1,17/01/2025 0:31,R_2GcGikVkDGzy77g,,,,,32.0804,34.7807,anonymous,HE,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,7,YyLeol
17/01/2025 19:08,17/01/2025 19:22,0,77.125.61.205,100,880,1,17/01/2025 19:22,R_4EhB5sx4PxnsnvK,,,,,32.0876,34.8739,anonymous,HE,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,9,ooZSPZ
20/01/2025 8:56,20/01/2025 9:05,0,188.64.206.156,100,526,1,20/01/2025 9:05,R_4qkb8zN6gSSQtSD,,,,,32.0804,34.7807,anonymous,HE,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,6,x2GCd4
20/01/2025 19:41,20/01/2025 19:55,0,147.235.199.32,100,836,1,20/01/2025 19:55,R_4K1FS2zH4JczIXf,,,,,32.0804,34.7807,anonymous,HE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,KHWkGA
25/01/2025 18:37,25/01/2025 18:52,0,147.235.202.32,100,906,1,25/01/2025 18:52,R_4nrDOmw5M7JziJb,,,,,32.0804,34.7807,anonymous,HE,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,8,mkSJjy
28/01/2025 12:07,28/01/2025 12:18,0,31.154.216.206,100,633,1,28/01/2025 12:18,R_4lrZmVlurKQmJMT,,,,,32.0717,34.8153,anonymous,HE,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,9,raK5i3
